Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chris Silva,PF,24,TOT,15,0,6.1,0.7,1.1,.625,0.1,0.1,1.000,0.6,1.0,.600,.656,0.7,1.0,.733,0.5,1.3,1.8,0.4,0.1,0.4,0.7,1.6,2.1
Chris Silva,PF,24,MIA,11,0,7.5,0.8,1.2,.692,0.1,0.1,1.000,0.7,1.1,.667,.731,1.0,1.4,.733,0.6,1.6,2.3,0.5,0.1,0.5,0.8,1.8,2.7
Chris Silva,PF,24,SAC,4,0,2.3,0.3,0.8,.333,0.0,0.0,0,0.3,0.8,.333,.333,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.3,0.3,1.0,0.5
Ben Simmons,PG,24,PHI,48,48,33.3,5.7,10.4,.545,0.1,0.2,.300,5.6,10.2,.550,.548,3.4,5.5,.615,1.7,6.0,7.6,7.1,1.6,0.6,3.3,3.1,14.8
Anfernee Simons,SG,21,POR,51,0,16.4,2.6,6.4,.414,1.9,4.5,.419,0.7,1.9,.400,.562,0.7,0.9,.766,0.2,2.0,2.2,1.4,0.3,0.1,0.7,1.5,7.8
Deividas Sirvydis,SG,20,DET,14,0,2.7,0.4,1.2,.294,0.3,0.9,.308,0.1,0.3,.250,.412,0.2,0.3,.750,0.0,0.6,0.6,0.1,0.1,0.0,0.2,0.2,1.2
Alen Smailagić,PF,20,GSW,9,1,4.2,0.7,1.4,.462,0.2,0.6,.400,0.4,0.9,.500,.538,0.1,0.4,.250,0.3,0.4,0.8,0.2,0.1,0.3,0.0,0.7,1.7
Marcus Smart,PG,26,BOS,40,37,32.7,4.4,10.6,.409,2.0,5.9,.345,2.3,4.8,.489,.505,2.8,3.6,.790,0.8,2.7,3.5,5.5,1.5,0.5,1.8,2.5,13.6
Dennis Smith Jr.,PG,23,TOT,23,9,18.3,2.5,6.3,.400,0.8,2.5,.328,1.7,3.8,.448,.466,0.8,1.1,.731,0.5,1.9,2.4,3.3,1.0,0.6,1.1,1.6,6.7
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
Dennis Smith Jr.,PG,23,DET,20,9,19.6,2.8,6.8,.415,1.0,2.7,.352,1.9,4.1,.457,.485,0.7,1.0,.700,0.6,2.1,2.7,3.7,1.0,0.7,1.3,1.7,7.3
Ish Smith,PG,32,WAS,31,1,20.2,2.5,6.2,.411,0.4,1.0,.344,2.2,5.2,.425,.440,0.4,0.7,.522,0.5,2.8,3.3,4.2,0.6,0.3,1.0,1.3,5.8
Jalen Smith,PF,20,PHO,20,0,4.4,0.6,1.5,.379,0.1,0.6,.182,0.5,0.9,.500,.414,0.1,0.2,.333,0.3,0.7,1.0,0.1,0.1,0.1,0.3,0.5,1.3
Tony Snell,SG,29,ATL,40,18,21.0,1.9,3.7,.517,1.4,2.5,.571,0.5,1.2,.408,.707,0.3,0.3,1.000,0.4,2.0,2.4,1.3,0.2,0.3,0.5,1.6,5.5
Ray Spalding,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
Cassius Stanley,SG,21,IND,16,0,2.6,0.4,1.4,.273,0.1,0.4,.167,0.3,1.0,.313,.295,0.3,0.3,.800,0.3,0.4,0.7,0.0,0.0,0.1,0.1,0.6,1.1
Lamar Stevens,PF,23,CLE,39,0,12.6,1.6,3.5,.456,0.1,0.6,.160,1.5,2.8,.523,.471,0.9,1.3,.725,0.6,1.8,2.5,0.6,0.4,0.3,0.6,1.3,4.2
Isaiah Stewart,C,19,DET,59,7,20.3,3.2,5.5,.579,0.2,0.5,.419,2.9,4.9,.596,.599,0.8,1.3,.676,2.4,4.1,6.6,0.9,0.5,1.1,1.0,2.6,7.4
Max Strus,SF,24,MIA,32,0,12.1,2.0,4.3,.457,1.2,3.5,.351,0.8,0.8,.889,.598,0.3,0.5,.647,0.1,0.8,0.8,0.5,0.2,0.0,0.2,1.1,5.5
Edmond Sumner,SG,25,IND,46,17,15.5,2.6,5.0,.526,0.7,1.7,.403,2.0,3.3,.588,.593,1.1,1.4,.794,0.3,1.3,1.7,0.9,0.6,0.2,0.9,1.5,7.0
Jae'Sean Tate,SF,25,HOU,61,49,29.0,4.4,8.6,.514,0.8,2.7,.291,3.6,5.9,.617,.560,1.4,1.9,.718,2.0,3.4,5.3,2.3,1.3,0.6,1.2,3.1,11.0
Jayson Tatum,SF,22,BOS,54,54,35.7,9.3,20.4,.455,2.9,7.6,.385,6.4,12.9,.496,.526,4.3,5.0,.869,0.7,6.7,7.4,4.4,1.2,0.4,2.6,1.8,25.8
Jeff Teague,PG,32,TOT,45,6,17.9,2.2,5.3,.423,0.7,1.6,.429,1.6,3.8,.420,.485,1.6,1.8,.843,0.3,1.4,1.7,2.4,0.6,0.2,1.1,1.2,6.7
Jeff Teague,PG,32,BOS,34,5,18.1,2.3,5.5,.415,0.8,1.6,.464,1.5,3.9,.394,.484,1.5,1.8,.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
Jeff Teague,PG,32,MIL,11,1,17.1,2.1,4.6,.451,0.4,1.3,.286,1.7,3.4,.514,.490,1.7,2.0,.864,0.3,1.5,1.7,3.4,0.2,0.3,0.9,0.9,6.3
Garrett Temple,SG,34,CHI,44,18,26.8,2.9,7.0,.415,1.3,3.7,.337,1.6,3.3,.503,.505,0.8,0.9,.825,0.5,2.4,2.9,2.2,0.8,0.5,1.0,2.3,7.8
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,TOT,57,43,24.2,3.8,6.9,.540,0.7,2.4,.313,3.0,4.6,.656,.593,1.1,1.6,.670,1.3,3.8,5.2,1.7,0.6,0.9,1.0,2.6,9.4
Daniel Theis,C,28,BOS,42,37,24.5,3.8,6.9,.552,0.8,2.3,.347,3.0,4.6,.653,.609,1.1,1.6,.687,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,9.5
Daniel Theis,C,28,CHI,15,6,23.3,3.7,7.2,.509,0.6,2.6,.231,3.1,4.6,.667,.551,1.1,1.8,.630,1.4,3.5,4.9,1.9,0.5,0.6,1.1,1.8,9.1
Brodric Thomas,SG,24,TOT,19,1,8.6,0.7,2.6,.286,0.3,1.4,.192,0.5,1.2,.391,.337,0.9,1.2,.783,0.2,0.8,0.9,0.7,0.4,0.3,0.6,0.9,2.7
Brodric Thomas,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
Brodric Thomas,SG,24,CLE,15,1,9.3,0.8,2.8,.286,0.3,1.3,.200,0.5,1.5,.364,.333,0.9,1.1,.813,0.1,0.8,0.9,0.7,0.4,0.3,0.5,0.9,2.7
Isaiah Thomas,PG,31,NOP,3,0,16.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,0.7,0.7,1.000,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,7.7
Matt Thomas,SG,26,TOT,35,0,7.5,1.0,2.7,.358,0.6,1.8,.323,0.4,0.9,.424,.463,0.2,0.2,.857,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.7
Matt Thomas,SG,26,TOR,26,0,7.4,0.9,2.4,.387,0.7,1.6,.415,0.3,0.8,.333,.524,0.2,0.3,.857,0.1,0.7,0.8,0.3,0.1,0.0,0.2,0.4,2.7
Matt Thomas,SG,26,UTA,9,0,7.8,1.1,3.7,.303,0.3,2.3,.143,0.8,1.3,.583,.348,0.0,0.0,0,0.2,1.0,1.2,0.6,0.1,0.0,0.6,0.6,2.6
Tristan Thompson,PF,29,BOS,45,36,23.2,3.3,6.2,.531,0.0,0.1,.000,3.3,6.1,.536,.531,1.4,2.3,.615,3.1,5.1,8.2,1.1,0.4,0.5,1.1,2.1,8.0
Sindarius Thornwell,SG,26,NOP,14,1,5.2,0.5,1.5,.333,0.2,0.6,.333,0.3,0.9,.333,.405,0.0,0.1,.000,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
Matisse Thybulle,SG,23,PHI,57,7,20.1,1.5,3.7,.410,0.6,2.2,.298,0.9,1.5,.570,.498,0.1,0.3,.500,0.5,1.5,2.0,0.9,1.5,1.0,0.4,2.0,3.8
Killian Tillie,C,22,MEM,13,0,9.0,0.9,3.0,.308,0.5,1.8,.250,0.5,1.2,.400,.385,0.3,0.4,.800,0.5,0.8,1.3,0.3,0.4,0.5,0.1,1.2,2.6
Xavier Tillman Sr.,PF,22,MEM,48,10,19.1,3.0,5.4,.550,0.4,1.2,.321,2.6,4.2,.614,.585,0.6,1.0,.660,1.3,3.1,4.4,1.3,0.8,0.6,0.7,2.2,6.9
Anthony Tolliver,PF,35,PHI,3,0,13.3,0.0,2.0,.000,0.0,1.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,1.0,1.0,2.0,0.7,1.0,0.3,0.7,1.7,0.0
Obi Toppin,PF,22,NYK,51,0,11.1,1.6,3.4,.485,0.4,1.4,.296,1.2,2.0,.620,.547,0.3,0.4,.727,0.4,1.8,2.3,0.5,0.2,0.2,0.4,0.9,4.0
Juan Toscano-Anderson,SG,27,GSW,41,15,18.3,2.0,3.5,.583,0.6,1.5,.433,1.4,2.0,.690,.674,0.4,0.6,.739,0.6,3.4,4.0,2.3,0.6,0.4,1.0,1.9,5.1
Axel Toupane,SF,28,MIL,8,1,7.6,0.5,1.4,.364,0.1,0.3,.500,0.4,1.1,.333,.409,0.6,0.9,.714,0.0,0.8,0.8,0.5,0.3,0.4,0.0,0.8,1.8
Karl-Anthony Towns,C,25,MIN,39,39,34.3,8.6,17.6,.491,2.5,6.2,.397,6.2,11.4,.542,.561,5.1,5.8,.868,2.7,8.2,10.9,4.6,0.7,1.4,3.2,3.6,24.8
Gary Trent Jr.,SG,22,TOT,55,35,30.9,5.5,13.3,.415,2.9,7.3,.389,2.7,6.0,.447,.522,1.3,1.7,.780,0.4,2.1,2.5,1.4,1.0,0.2,0.7,1.5,15.2
Gary Trent Jr.,SG,22,POR,41,23,30.8,5.3,12.8,.414,3.0,7.4,.397,2.3,5.3,.438,.530,1.4,1.8,.773,0.5,1.7,2.2,1.4,0.9,0.1,0.8,1.5,15.0
Gary Trent Jr.,SG,22,TOR,14,12,31.2,6.2,14.9,.416,2.6,7.1,.364,3.6,7.9,.464,.502,0.9,1.1,.813,0.1,3.4,3.4,1.4,1.2,0.2,0.7,1.5,15.9
P.J. Tucker,PF,35,TOT,41,32,27.1,1.4,3.7,.366,0.8,2.5,.327,0.6,1.3,.442,.474,0.4,0.6,.783,1.0,3.2,4.2,1.2,0.8,0.5,0.9,2.5,4.0
P.J. Tucker,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
P.J. Tucker,PF,35,MIL,9,0,17.1,0.9,2.4,.364,0.7,1.7,.400,0.2,0.8,.286,.500,0.0,0.0,0,1.0,1.9,2.9,0.6,0.3,0.2,0.2,1.1,2.4
Rayjon Tucker,PG,23,PHI,11,0,3.6,0.4,0.7,.500,0.2,0.3,.667,0.2,0.5,.400,.625,1.1,1.3,.857,0.1,0.6,0.7,0.4,0.1,0.0,0.2,0.4,2.0
Myles Turner,C,24,IND,47,47,31.0,4.4,9.2,.477,1.5,4.4,.335,2.9,4.8,.606,.557,2.4,3.0,.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6
Jonas Valančiūnas,C,28,MEM,50,49,28.0,7.0,12.1,.580,0.3,1.0,.333,6.7,11.2,.601,.593,2.6,3.4,.774,4.2,8.4,12.6,1.8,0.5,0.7,1.7,2.9,17.0
Denzel Valentine,SG,27,CHI,53,3,17.6,2.7,7.0,.380,1.4,4.2,.327,1.3,2.8,.457,.477,0.2,0.3,.929,0.4,3.0,3.4,1.7,0.5,0.1,0.7,1.1,6.9
Jarred Vanderbilt,PF,21,MIN,53,25,17.2,2.1,3.5,.591,0.0,0.1,.250,2.1,3.4,.599,.594,1.0,1.8,.564,1.7,3.8,5.5,1.3,0.9,0.8,0.9,1.9,5.2
Fred VanVleet,SG,26,TOR,47,47,36.1,6.4,16.4,.394,3.3,9.0,.372,3.1,7.4,.421,.496,3.4,3.8,.888,0.6,3.6,4.1,6.2,1.7,0.8,1.9,2.4,19.6
Devin Vassell,SF,20,SAS,49,1,16.1,1.8,4.4,.407,0.9,2.2,.394,0.9,2.1,.419,.507,0.6,0.7,.879,0.4,2.2,2.6,0.9,0.8,0.3,0.4,1.4,5.0
Gabe Vincent,PG,24,MIA,42,6,13.4,1.8,4.8,.369,0.9,3.1,.287,0.9,1.8,.514,.461,0.5,0.5,.870,0.2,0.9,1.1,1.3,0.4,0.0,0.7,1.6,4.9
Noah Vonleh,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
Nikola Vučević,C,30,TOT,61,61,33.5,9.7,19.8,.488,2.6,6.2,.413,7.1,13.6,.523,.553,2.0,2.4,.833,2.0,9.3,11.3,3.8,1.0,0.7,1.8,1.9,23.9
Nikola Vučević,C,30,ORL,44,44,34.1,9.9,20.6,.480,2.7,6.5,.406,7.3,14.1,.515,.545,2.1,2.5,.827,2.0,9.8,11.8,3.8,1.0,0.6,1.9,1.8,24.5
Nikola Vučević,C,30,CHI,17,17,31.8,9.1,17.8,.513,2.3,5.3,.433,6.8,12.5,.547,.578,1.7,2.0,.853,2.1,8.1,10.2,3.7,1.0,0.8,1.5,2.1,22.2
Dean Wade,PF,24,CLE,50,13,17.0,1.9,4.4,.429,1.1,3.0,.365,0.8,1.4,.563,.553,0.3,0.4,.762,0.5,2.6,3.0,1.1,0.5,0.4,0.4,1.1,5.2
Moritz Wagner,C,23,TOT,34,14,12.8,1.9,4.0,.485,0.4,1.4,.313,1.5,2.6,.580,.540,1.2,1.6,.778,0.5,2.2,2.7,1.1,0.6,0.3,0.9,2.1,5.6
Moritz Wagner,C,23,WAS,25,13,15.0,2.5,4.9,.508,0.5,1.7,.310,2.0,3.2,.613,.561,1.6,2.1,.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
Moritz Wagner,C,23,BOS,9,1,6.8,0.4,1.6,.286,0.2,0.7,.333,0.2,0.9,.250,.357,0.1,0.2,.500,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2
Kemba Walker,PG,30,BOS,38,38,31.5,6.2,15.3,.409,2.8,8.1,.349,3.4,7.2,.476,.501,2.9,3.1,.932,0.3,3.6,3.9,5.0,1.1,0.3,2.1,1.4,18.2
Lonnie Walker,SG,22,SAS,47,31,24.9,4.1,9.9,.416,1.6,4.6,.355,2.5,5.3,.468,.498,1.1,1.3,.794,0.2,2.4,2.6,1.6,0.5,0.3,1.1,1.8,10.9
John Wall,PG,30,HOU,40,40,32.2,7.3,18.2,.404,2.0,6.2,.317,5.4,11.9,.449,.458,4.0,5.3,.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6
Brad Wanamaker,PG,31,TOT,52,0,16.7,1.8,4.8,.371,0.3,1.5,.200,1.5,3.3,.450,.402,1.4,1.6,.881,0.2,1.4,1.7,2.8,0.7,0.2,1.2,1.5,5.3
Brad Wanamaker,PG,31,GSW,39,0,16.0,1.6,4.4,.353,0.3,1.6,.213,1.2,2.9,.429,.390,1.3,1.4,.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
Brad Wanamaker,PG,31,CHO,13,0,18.5,2.5,6.0,.410,0.2,1.5,.158,2.2,4.5,.492,.429,1.8,2.2,.857,0.3,1.2,1.5,3.8,0.8,0.2,1.8,1.8,7.0
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
P.J. Washington,PF,22,CHO,52,49,29.5,4.4,10.1,.433,1.6,4.1,.392,2.8,6.0,.462,.512,1.8,2.4,.766,1.4,4.9,6.3,2.6,1.0,1.3,2.1,2.6,12.2
Yuta Watanabe,SF,26,TOR,41,1,13.4,1.4,3.2,.447,0.6,1.6,.406,0.8,1.7,.485,.545,0.5,0.6,.826,0.8,2.4,3.2,0.7,0.5,0.4,0.4,1.1,4.0
Tremont Waters,PG,23,BOS,17,1,7.3,0.9,2.4,.366,0.4,1.1,.389,0.5,1.4,.348,.451,0.8,0.8,.929,0.2,0.5,0.6,2.1,0.6,0.0,0.8,0.5,2.9
Paul Watson,SF,26,TOR,27,2,11.0,1.4,3.0,.463,1.1,2.4,.469,0.3,0.7,.444,.646,0.2,0.3,.625,0.1,1.5,1.7,0.6,0.2,0.1,0.3,1.3,4.1
Quinndary Weatherspoon,SG,24,SAS,17,0,4.5,0.4,0.9,.375,0.0,0.1,.000,0.4,0.8,.429,.375,0.4,0.5,.875,0.1,0.2,0.4,0.3,0.4,0.1,0.5,0.8,1.1
Russell Westbrook,PG,32,WAS,52,52,35.6,8.3,18.9,.440,1.3,4.1,.318,7.0,14.8,.473,.474,3.9,6.3,.625,1.7,9.5,11.1,10.9,1.3,0.3,5.0,2.8,21.9
Coby White,PG,20,CHI,57,42,30.7,5.3,12.8,.417,2.1,6.2,.347,3.2,6.6,.483,.501,1.9,2.1,.917,0.4,3.7,4.1,4.5,0.6,0.2,2.2,2.5,14.8
Derrick White,SG,26,SAS,35,31,29.8,5.2,12.7,.410,2.4,6.8,.351,2.8,5.9,.478,.504,2.7,3.1,.855,0.4,2.6,3.0,3.6,0.7,1.0,1.3,2.6,15.5
Hassan Whiteside,C,31,SAC,36,4,15.2,3.5,6.2,.563,0.0,0.0,.000,3.5,6.2,.565,.563,1.1,2.2,.519,1.7,4.3,6.0,0.6,0.3,1.3,1.1,2.0,8.1
Greg Whittington,PF,27,DEN,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,PF,25,GSW,60,60,33.0,6.8,14.5,.472,2.0,5.2,.381,4.9,9.3,.523,.541,2.4,3.5,.697,1.0,3.8,4.8,2.3,1.0,1.0,1.8,2.2,18.1
Grant Williams,PF,22,BOS,52,8,18.7,1.6,3.8,.419,0.7,2.0,.358,0.9,1.8,.489,.515,0.4,0.8,.550,0.8,2.1,2.9,1.0,0.6,0.4,0.9,2.6,4.3
Kenrich Williams,PF,26,OKC,60,11,21.2,3.1,6.0,.527,0.8,1.7,.446,2.4,4.3,.559,.590,0.6,1.0,.579,1.3,2.9,4.2,2.2,0.8,0.2,1.1,2.1,7.6
Lou Williams,PG,34,TOT,55,3,22.2,4.3,10.3,.418,1.1,2.8,.388,3.3,7.6,.429,.470,2.4,2.7,.874,0.3,1.6,1.9,3.4,0.8,0.1,1.6,1.0,12.1
Lou Williams,PG,34,LAC,42,3,21.9,4.3,10.2,.421,1.1,2.8,.378,3.2,7.4,.437,.473,2.5,2.8,.866,0.4,1.7,2.1,3.4,0.9,0.1,1.6,1.0,12.1
Lou Williams,PG,34,ATL,13,0,23.4,4.4,10.7,.410,1.1,2.5,.424,3.3,8.2,.406,.460,2.2,2.5,.906,0.2,1.2,1.5,3.2,0.5,0.1,1.7,0.9,12.1
Patrick Williams,PF,19,CHI,59,59,28.2,3.6,7.5,.482,0.8,2.0,.381,2.8,5.5,.519,.533,1.2,1.6,.755,0.9,3.8,4.7,1.4,0.9,0.6,1.4,1.9,9.2
Robert Williams,C,23,BOS,47,10,18.9,3.7,5.1,.720,0.0,0.0,.000,3.7,5.0,.726,.720,0.9,1.4,.646,2.6,4.4,7.0,1.8,0.8,1.8,1.0,2.1,8.2
Zion Williamson,PF,20,NOP,55,55,33.0,10.4,16.9,.617,0.2,0.5,.300,10.2,16.3,.628,.622,6.0,8.6,.700,2.7,4.6,7.3,3.6,0.9,0.7,2.6,2.3,27.0
D.J. Wilson,PF,24,TOT,32,1,11.5,1.8,4.5,.410,0.8,2.4,.342,1.0,2.1,.485,.500,0.4,0.7,.619,0.5,2.4,2.9,0.6,0.3,0.5,0.6,1.2,4.9
D.J. Wilson,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
D.J. Wilson,PF,24,HOU,20,1,13.2,2.2,5.1,.426,0.8,2.4,.333,1.4,2.7,.509,.505,0.6,1.0,.632,0.6,2.8,3.4,0.8,0.5,0.6,0.8,1.3,5.7
Dylan Windler,SF,24,CLE,31,0,16.5,1.8,4.2,.438,0.8,2.5,.338,1.0,1.7,.585,.538,0.7,0.9,.778,0.6,2.8,3.5,1.1,0.6,0.4,1.0,1.2,5.2
Justise Winslow,SF,24,MEM,19,0,20.2,2.9,8.6,.344,0.3,2.2,.143,2.6,6.4,.413,.362,0.5,0.9,.556,0.7,3.7,4.4,1.8,0.7,0.4,1.6,1.9,6.7
Cassius Winston,PG,22,WAS,18,0,5.1,0.7,1.7,.419,0.4,0.9,.500,0.3,0.8,.333,.548,0.3,0.3,.833,0.0,0.5,0.5,0.6,0.1,0.1,0.1,0.4,2.2
James Wiseman,C,19,GSW,39,27,21.4,4.9,9.4,.519,0.3,1.0,.316,4.6,8.5,.542,.535,1.4,2.2,.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
Christian Wood,C,25,HOU,37,37,32.0,8.1,15.5,.523,1.8,4.8,.376,6.3,10.7,.588,.581,2.9,4.6,.634,1.8,7.7,9.5,1.5,0.9,1.2,1.9,2.1,21.0
Robert Woodard,SF,21,SAC,11,0,2.6,0.6,1.3,.500,0.1,0.4,.250,0.5,0.9,.600,.536,0.3,0.7,.375,0.3,0.7,1.0,0.0,0.0,0.2,0.1,0.2,1.6
Delon Wright,SG,28,DET,36,31,29.2,3.8,8.1,.464,0.9,2.5,.348,2.9,5.7,.515,.517,2.0,2.5,.789,1.0,3.5,4.6,5.0,1.6,0.5,1.3,1.3,10.4
Delon Wright,PG,28,SAC,14,0,20.7,2.7,6.1,.447,1.0,2.3,.438,1.7,3.8,.453,.529,1.5,1.6,.913,0.6,2.0,2.6,2.1,1.2,0.1,0.6,0.7,7.9
Thaddeus Young,PF,32,CHI,56,17,24.0,5.5,9.6,.578,0.2,0.6,.278,5.3,8.9,.599,.587,1.0,1.5,.635,2.4,3.7,6.1,4.1,1.1,0.6,2.0,2.4,12.2
Trae Young,PG,22,ATL,54,54,34.2,7.6,17.8,.429,2.3,6.4,.357,5.4,11.4,.470,.493,7.7,8.8,.874,0.6,3.3,3.9,9.6,0.9,0.2,4.2,1.9,25.3
Cody Zeller,C,28,CHO,38,20,21.0,3.6,6.7,.542,0.1,0.7,.120,3.5,6.0,.588,.547,1.7,2.2,.741,2.6,4.3,6.9,1.9,0.6,0.4,1.1,2.4,8.9
Ivica Zubac,C,23,LAC,62,23,22.4,3.6,5.6,.644,0.0,0.0,.000,3.6,5.6,.649,.644,2.0,2.5,.786,2.7,4.6,7.3,1.2,0.4,0.9,1.1,2.6,9.2
